itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"PON3      ","x"," ",    0.00000    ,"(gN/m3)             ","PON3 (slow decomposing fraction)                  ","volume    ","volume    ","x","GEM Substances                "
"PON4      ","x"," ",    0.00000    ,"(gN/m3)             ","PON4 (particulate refractory fraction)            ","volume    ","volume    ","x","GEM Substances                "
"DON       ","x"," ",    0.00000    ,"(gN/m3)             ","Dissolved Organic Nitrogen (DON)                  ","volume    ","volume    ","x","GEM Substances                "
"POP1      ","x"," ",    0.00000    ,"(gP/m3)             ","POP1 (fast decomposing fraction)                  ","volume    ","volume    ","x","GEM Substances                "
"POP2      ","x"," ",    0.00000    ,"(gP/m3)             ","POP2 (medium decomposing fraction)                ","volume    ","volume    ","x","GEM Substances                "
"POP3      ","x"," ",    0.00000    ,"(gP/m3)             ","POP3 (slow decomposing fraction)                  ","volume    ","volume    ","x","GEM Substances                "
"POP4      ","x"," ",    0.00000    ,"(gP/m3)             ","POP4 (particulate refractory fraction)            ","volume    ","volume    ","x","GEM Substances                "
"DOP       ","x"," ",    0.00000    ,"(gP/m3)             ","Dissolved Organic Phosphorus (DOP)                ","volume    ","volume    ","x","GEM Substances                "
"POS1      ","x"," ",    0.00000    ,"(gS/m3)             ","POS1 (fast decomposing fraction)                  ","volume    ","volume    "," ","GEM Substances                "
"POS2      ","x"," ",    0.00000    ,"(gS/m3)             ","POS2 (medium decomposing fraction)                ","volume    ","volume    "," ","GEM Substances                "
"POS3      ","x"," ",    0.00000    ,"(gS/m3)             ","POS3 (slow decomposing  fraction)                 ","volume    ","volume    ","x","GEM Substances                "
"POS4      ","x"," ",    0.00000    ,"(gS/m3)             ","POS4 (particulate refractory fraction)            ","volume    ","volume    ","x","GEM Substances                "
"DOS       ","x"," ",    0.00000    ,"(gS/m3)             ","Dissolved Organic Sulphur (DOS)                   ","volume    ","volume    ","x","GEM Substances                "
"Opal      ","x"," ",    0.00000    ,"(gSi/m3)            ","Opal-Si                                           ","volume    ","volume    ","x","GEM Substances                "
"MPB1peli  ","x"," ",   -999.000    ,"(gC/m3)             ","microphytobenthos epipelic                        ","volume    ","volume    ","x","GEM Substances                "
"MPB2psam  ","x"," ",   -999.000    ,"(gC/m3)             ","microfytobenthos (non-Diatoms)                    ","volume    ","volume    ","x","DummyGroup                    "
"Mnd1Diat-m","x"," ",   -999.000    ,"{no unit}           ","algae Mnd1 Diat-m                                 ","volume    ","volume    ","x","GEM Substances                "
"Mnd2Flag-m","x"," ",   -999.000    ,"{no unit}           ","algae Mnd2 Flag-m                                 ","volume    ","volume    ","x","GEM Substances                "
"Mnd3Diat-f","x"," ",   -999.000    ,"{no unit}           ","algae Mnd3 Diat-f                                 ","volume    ","volume    ","x","GEM Substances                "
"Mnd4Flag-f","x"," ",   -999.000    ,"{no unit}           ","algae Mnd4 Flag-f                                 ","volume    ","volume    ","x","GEM Substances                "
"BLOOMALG01","x"," ",   -999.000    ,"(gC/m3)             ","concentration of algae type 1                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG02","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 2                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG03","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 3                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG04","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 4                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG05","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 5                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG06","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 6                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG07","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 7                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG08","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 8                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG09","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 9                     ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG10","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 10                    ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG11","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 11                    ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG12","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 12                    ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG13","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 13                    ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG14","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 14                    ","volume    ","volume    ","x","Eutrophication                "
"BLOOMALG15","x"," ",   -101.000    ,"(gC/m3)             ","concentration of algae type 15                    ","volume    ","volume    ","x","Eutrophication                "
